Name,MonType1,MonType2,MonType3,Useful_Attributes
Bibarel,,Water,,"Water, Stomping Tantrum, Ice Beam"
Blastoise,Water,,,"Water, Dragon Pulse, Earthquake, Ice Beam, Ice Spinner, Outrage, Rock Slide, Ice Punch, Avalanche"
Blissey,,,,"Alluring Voice, Ice Beam, Bubble Beam, Mud Bomb"
Bombirdier,,,Rock,"Rock, Drill Run, Rock Slide, Stone Edge, Power Gem"
Bouffalant,,,,"Earthquake, Outrage, Rock Slide, Stone Edge, Wild Charge"
Bronzong,,,,"Earthquake, Ice Spinner, Power Gem, Rock Slide, Meteor Beam, Rock Blast"
Cacturne,,,,"Stomping Tantrum, Thunder Punch"
Camerupt,,Ground,,"Ground, Rock Slide, Stone Edge"
Carbink,Rock,Fairy,,"Rock, Fairy, Earth Power"
Carracosta,Water,Rock,,"Water, Rock, Earthquake, Ice Beam, Earth Power"
Centiskorch,,,,"Scald, Scorching Sands, Thunder Fang"
Cetitan,Ice,,,"Ice, Earthquake, Play Rough, Liquidation"
Charizard,,,Dragon,"Dragon, Dragon Claw, Earthquake, Outrage, Rock Slide, Thunder Punch, Dragon Pulse, Outrage, Scorching Sands, Breaking Swipe, Dragon Rush, Scale Shot"
Chesnaught,,,,"Dragon Claw, Earthquake, Rock Slide, Stone Edge, Thunder Punch, Dual Chop"
Claydol,Ground,,,"Ground, Dazzling Gleam, Ice Beam, Rock Slide, Stone Edge"
Cloyster,Water,Ice,,"Water, Ice, Drill Run, Rock Blast"
Coalossal,Rock,,,"Rock, Earthquake, Earth Power, Scorching Sands, Scald"
Copperajah,,,,"Earthquake, Outrage, Play Rough, Rock Slide, Stone Edge, Supercell Slam, Earth Power, Rock Blast"
Corsola,Water,Rock,,"Water, Rock, Earth Power, Earthquake, Ice Beam, Icicle Spear"
Corsola-Galar,,,,"Meteor Beam, Head Smash, Hydro Pump, Ice Beam, Earthquake, Earth Power, Stone Edge, Surf, Liquidation, Power Gem, Scald, Brine, Icicle Spear, Rock Blast"
Crabominable,,Ice,,"Ice, Crabhammer, Earthquake, Liquidation, Rock Slide, Stone Edge, Thunder Punch, Liquidation"
Cradily,Rock,,,"Rock, Earth Power, Earthquake, Brine"
Crustle,,Rock,,"Rock, Earthquake"
Cursola,,,,"Earth Power, Hydro Pump, Ice Beam, Meteor Beam, Power Gem, Scald, Head Smash, Earthquake, Stone Edge, Surf, Liquidation, Rock Slide, Brine, Icicle Spear, Rock Blast"
Dachsbun,Fairy,,,"Fairy, Ice Fang, Stomping Tantrum, Thunder Fang"
Darmanitan,,,,"Earthquake, Rock Slide, Stone Edge"
Delcatty,,,,"Ice Beam, Play Rough, Wild Charge, Stomping Tantrum, Mud Bomb"
Delibird,Ice,,,"Ice, Freeze Dry, Drill Run"
Delphox,,,,"Dazzling Gleam, Thunder Punch, Scorching Sands"
Deoxys-Defense,,,,"Meteor Beam, Zap Cannon, Ice Beam, Ice Punch, Rock Slide, Stomping Tantrum, Thunder Punch"
Dewgong,Water,Ice,,"Water, Ice, Play Rough, Drill Run"
Diancie,Rock,Fairy,,"Rock, Fairy, Earth Power, Scorching Sands"
Diggersby,,Ground,,"Ground, Stone Edge, Surf, Wild Charge, Ice Punch, Rock Slide, Thunder Punch"
Donphan,Ground,,,"Ground, Head Smash, Stone Edge, Play Rough, Ice Spinner, Rock Slide, Ice Fang, Thunder Fang, Ice Shard"
Dracozolt,Electric,Dragon,,"Electric, Dragon, Meteor Beam, Earthquake, Stone Edge, Earth Power, Rock Slide, Rock Blast"
Drampa,,Dragon,,"Dragon, Hydro Pump, Earthquake, Ice Beam, Play Rough, Surf, Rock Slide"
Drapion,,,,"Earthquake, Aqua Tail, Rock Slide, Ice Fang, Thunder Fang"
Drednaw,Water,Rock,,"Water, Rock, Earthquake, Earth Power, Ice Beam, Ice Spinner, Ice Fang, Scale Shot"
Druddigon,Dragon,,,"Dragon, Earthquake, Aqua Tail, Surf, Rock Slide, Thunder Punch, Thunder Fang"
Dudunsparce,,,,"Outrage, Zap Cannon, Earthquake, Dragon Rush, Aqua Tail, Earth Power, Ice Beam, Wild Charge, Drill Run, Ice Spinner, Rock Slide, Breaking Swipe, Scale Shot"
Dugtrio,Ground,,,"Ground, Stone Edge, Rock Slide, Rock Blast"
Dugtrio-Alola,Ground,,,"Ground, Stone Edge, Rock Slide, Rock Blast"
Duraludon,,Dragon,,"Dragon, Stone Edge, Rock Slide, Stomping Tantrum"
Durant,,,,"Stone Edge, Rock Slide, Stomping Tantrum, Thunder Fang"
Eelektross,Electric,,,"Electric, Outrage, Aqua Tail, Dragon Pulse, Liquidation, Dragon Claw, Rock Slide, Stomping Tantrum"
Electivire,Electric,,,"Electric, Earthquake, Ice Punch, Rock Slide, Dual Chop"
Emboar,,,,"Head Smash, Earthquake, Stone Edge, Scald, Rock Slide, Thunder Punch"
Empoleon,Water,,,"Water, Earthquake, Ice Beam, Ice Spinner, Rock Slide, Avalanche, Triple Axel"
Entei,,,,"Stone Edge, Stomping Tantrum, Scorching Sands"
Exploud,,,,"Outrage, Hydro Pump, Earthquake, Ice Beam, Surf, Ice Punch, Rock Slide, Thunder Punch, Ice Fang, Thunder Fang, Avalanche"
Falinks,,,,"High Horsepower, Rock Slide"
Farigiraf,,,,"Zap Cannon, Earthquake, Dazzling Gleam"
Feraligatr,Water,,,"Water, Outrage, Earthquake, Ice Beam, Dragon Pulse, Dragon Claw, Ice Punch, Rock Slide, Ice Fang, Avalanche, Breaking Swipe, Scale Shot"
Flareon,,,,"Zap Cannon, Alluring Voice, Scorching Sands"
Flygon,Ground,Dragon,,"Ground, Dragon, Earthquake, Stone Edge, Alluring Voice, Rock Slide, Thunder Punch"
Forretress,,,,"Zap Cannon, Earthquake, Stone Edge, Earth Power, Drill Run, Ice Spinner, Rock Slide, Volt Switch"
Gallade,,,,"Earthquake, Stone Edge, Alluring Voice, Dazzling Gleam, Ice Punch, Thunder Punch, Rock Slide, Aqua Cutter, Dual Chop, Triple Axel"
Garbodor,,,,"Stomping Tantrum, Rock Blast"
Gastrodon,Water,Ground,,"Water, Ground, Stone Edge, Earth Power, Ice Beam, Rock Slide, Rock Blast"
Gigalith,Rock,,,"Rock, Earthquake, Earth Power"
Glalie,Ice,,,"Ice, Freeze Dry, Earthquake"
Gogoat,,,,"Earthquake, Play Rough, Surf, Wild Charge, Rock Slide"
Golduck,Water,,,"Water, Ice Beam, Power Gem, Ice Punch, Mud Bomb"
Golem,Rock,Ground,,"Rock, Ground, Thunder Punch"
Golem-Alola,Rock,Electric,,"Rock, Electric, Earthquake, Earth Power"
Golisopod,,Water,,"Water, Ice Beam, Drill Run, Rock Slide, Dual Chop"
Golurk,Ground,,,"Ground, Stone Edge, Ice Beam, Ice Punch, Thunder Punch, Rock Slide"
Goodra,Dragon,,,"Dragon, Hydro Pump, Earthquake, Aqua Tail, Ice Beam, Surf, Muddy Water, Scald, Rock Slide, Thunder Punch"
Goodra-Hisui,,Dragon,,"Dragon, Hydro Pump, Earthquake, Ice Beam, Surf, Muddy Water, Ice Spinner, Rock Slide, Thunder Punch"
Granbull,Fairy,,,"Fairy, Outrage, Zap Cannon, Earthquake, Stone Edge, Wild Charge, Ice Punch, Rock Slide, Thunder Punch, Ice Fang, Thunder Fang"
Grapploct,,,,"Hydro Pump, Surf, Muddy Water, Liquidation, Waterfall, Dive, Ice Punch, Stomping Tantrum, Brine, Octazooka"
Greedent,,,,"Earthquake, Wild Charge, Ice Fang, Thunder Fang"
Grimmsnarl,,Fairy,,"Fairy, Ice Punch, Stomping Tantrum, Thunder Punch"
Grumpig,,,,"Earth Power, Dazzling Gleam, Power Gem, Ice Punch, Stomping Tantrum, Thunder Punch"
Gumshoos,,,,"Earthquake, Wild Charge, Ice Punch, Thunder Punch, Ice Fang, Thunder Fang, Dual Chop"
Guzzlord,,Dragon,,"Dragon, Earthquake, Stone Edge, Rock Slide"
Hariyama,,,,"Headlong Rush, Earthquake, Stone Edge, Surf, Ice Punch, Thunder Punch, Rock Slide, Brine"
Heatmor,,,,"Stomping Tantrum, Thunder Punch, Scorching Sands"
Heracross,,,,"Earthquake, Stone Edge, Rock Slide, Rock Blast"
Hitmonchan,,,,"Earthquake, Stone Edge, Rock Slide, Thunder Punch, Ice Punch"
Hitmonlee,,,,"Earthquake, Stone Edge, Rock Slide"
Hitmontop,,,,"Earthquake, Stone Edge, Drill Run, Ice Spinner, Rock Slide, Triple Axel"
Houndstone,,,,"Play Rough, Stomping Tantrum, Ice Fang, Thunder Fang"
Incineroar,,,,"Outrage, Earthquake, Thunder Punch, Scorching Sands, Dual Chop"
Infernape,,,,"Earthquake, Stone Edge, Rock Slide, Thunder Punch, Scorching Sands, Dual Chop"
Iron Jugulis,,,,"Meteor Beam, Outrage, Hydro Pump, Earth Power, Dragon Pulse"
Iron Thorns,Rock,Electric,,"Rock, Electric, Earthquake, Earth Power, Ice Beam, Dragon Claw, Ice Punch, Ice Fang, Breaking Swipe"
Kabutops,Rock,Water,,"Rock, Water, Earth Power, Ice Beam, Aurora Beam"
Kangaskhan,,,,"Outrage, Zap Cannon, Earthquake, Aqua Tail, Surf, Ice Beam, Thunder Punch, Ice Punch, Rock Slide, Avalanche, Bubble Beam, Hydro Pump"
Kingler,Water,,,"Water, High Horsepower, Ice Beam, Rock Slide, Stomping Tantrum"
Klawf,Rock,,,"Rock, Crabhammer, High Horsepower, Earth Power, Stomping Tantrum"
Komala,,,,"Earthquake, Play Rough, Ice Spinner, Rock Slide"
Krookodile,Ground,,,"Ground, Outrage, Stone Edge, Aqua Tail, Dragon Pulse, Dragon Claw, Rock Slide, Thunder Fang, Breaking Swipe, Scale Shot"
Lapras,Water,Ice,,"Water, Ice, Freeze Dry, Outrage, Zap Cannon, Earthquake, Dragon Pulse, Alluring Voice, Drill Run"
Latias,Dragon,,,"Dragon, Earthquake, Ice Beam, Surf, Liquidation, Alluring Voice, Waterfall, Dive"
Lickilicky,,,,"Hydro Pump, Earthquake, Aqua Tail, Surf, Ice Beam, Muddy Water, Ice Punch, Thunder Punch, Rock Slide, Stomping Tantrum, Bubble Beam"
Linoone,,,,"Ice Beam, Surf, Play Rough, Stomping Tantrum"
Lucario,,,,"Earthquake, Stone Edge, Dragon Pulse, Rock Slide, Thunder Punch, Ice Punch, Bone Rush"
Lunatone,Rock,,,"Rock, Earthquake, Moonblast, Earth Power, Ice Beam"
Lycanroc,Rock,,,"Rock, Earth Power, Play Rough, Drill Run, Stomping Tantrum, Thunder Fang"
Lycanroc-Dusk,Rock,,,"Rock, Outrage, Earth Power, Play Rough, Drill Run, Stomping Tantrum, Thunder Fang"
Lycanroc-Midnight,Rock,,,"Rock, Outrage, Earth Power, Play Rough, Stomping Tantrum, Thunder Punch, Thunder Fang, Dual Chop"
Machamp,,,,"Earthquake, Stone Edge, Ice Punch, Rock Slide, Thunder Punch, Dual Chop, Rock Blast"
Magcargo,,Rock,,"Rock, Earthquake, Scorching Sands, Earth Power"
Magmortar,,,,"Earthquake, Rock Slide, Thunder Punch, Scorching Sands, Dual Chop"
Mantine,Water,,,"Water, Earthquake, Ice Beam, Rock Slide, Rock Blast"
Marowak,Ground,,,"Ground, Outrage, Stone Edge, Ice Beam, Rock Slide, Thunder Punch, Bubble Beam"
Marowak-Alola,,,,"Outrage, Earthquake, Stone Edge, Earth Power, Ice Beam, Rock Slide, Thunder Punch, Scorching Sands, Bone Club, Bonemerang, Bone Rush"
Metagross,,,,"Meteor Beam, Earthquake, Stone Edge, Ice Punch, Rock Slide, Thunder Punch"
Miltank,,,,"Earthquake, Ice Beam, Play Rough, Surf, Ice Punch, Rock Slide, Thunder Punch"
Minior,Rock,,,"Rock, Earthquake, Earth Power, Dazzling Gleam, Scorching Sands"
Morpeko,Electric,,,"Electric, Outrage, Stomping Tantrum, Ice Fang"
Mr. Rime,Ice,,,"Ice, Freeze Dry, Dazzling Gleam, Stomping Tantrum"
Mudsdale,Ground,,,"Ground, Stone Edge"
Muk,,,,"Zap Cannon, Moonblast, Ice Punch, Rock Slide, Thunder Punch, Mud Bomb"
Necrozma,,,,"Meteor Beam, Outrage, Earthquake, Stone Edge, Earth Power, Dragon Pulse, Power Gem, Rock Slide, Breaking Swipe, Rock Blast"
Nidoking,,Ground,,"Ground, Head Smash, Outrage, Stone Edge, Aqua Tail, Ice Beam, Surf, Dragon Pulse, Ice Punch, Rock Slide, Thunder Punch, Bubble Beam, Avalanche, Rock Blast"
Nidoqueen,,Ground,,"Ground, Outrage, Stone Edge, Aqua Tail, Ice Beam, Surf, Dragon Pulse, Ice Punch, Rock Slide, Thunder Punch, Bubble Beam, Avalanche, Rock Blast"
Obstagoon,,,,"Ice Beam, Surf, Ice Punch, Stomping Tantrum, Thunder Punch"
Okidogi,,,,"Outrage, High Horsepower, Ice Punch, Stomping Tantrum, Thunder Punch, Ice Fang, Thunder Fang"
Omastar,Rock,Water,,"Rock, Water, Earth Power, Ice Beam, Aurora Beam"
Orthworm,,,,"Earthquake, Earth Power, Rock Slide, Rock Blast"
Palossand,,Ground,,"Ground, Stone Edge, Rock Slide, Brine"
Pangoro,,,,"Outrage, Earthquake, Stone Edge, Surf, Dragon Claw, Ice Punch, Rock Slide, Thunder Punch, Dual Chop"
Passimian,,,,"Earthquake, Rock Slide"
Rhyperior,Ground,Rock,,"Ground, Rock"
Sandy Shocks,Electric,Ground,,"Electric, Ground"
Stunfisk,Ground,Electric,,"Ground, Electric"
